교촌2리(마을회관)야외운동기구,충청남도 예산군 대흥면 교촌리 444,36.61481649,126.7827144,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
교촌3리(마을회관)야외운동기구,충청남도 예산군 대흥면 교촌리 661-3,36.61523906,126.7878782,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
송지대야리(마을회관)야외운동기구,충청남도 예산군 대흥면 대야리 134-1,36.61477635,126.8088873,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
신속리(마을회관)야외운동기구,충청남도 예산군 대흥면 신속리 204-1,36.62277636,126.8095919,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
노동리(마을회관)야외운동기구,충청남도 예산군 대흥면 노동리 82-15,36.63655244,126.8142383,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
하탄방리(마을회관)야외운동기구,충청남도 예산군 대흥면 하탄방리 64-3,36.61931336,126.8248853,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
탄방리(마을회관)야외운동기구,"충청남도 예산군 대흥면 탄방리 443-12,13",36.62892799,126.8336767,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
금곡리(마을회관)야외운동기구,충청남도 예산군 대흥면 금곡리 257-1,36.63256174,126.8496819,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
금곡리(정자옆)야외운동기구,충청남도 예산군 대흥면 금곡리 381(정자옆),36.6321687,126.8489698,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
지곡리(마을회관)야외운동기구,충청남도 예산군 대흥면 지곡리 133,36.64016173,126.8254835,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
대률리(마을회관)야외운동기구,충청남도 예산군 대흥면 대률리 738,36.64236192,126.8445303,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
대률리(5반주차장)야외운동기구,충청남도 예산군 대흥면 대률리 262-3,36.64348598,126.8537202,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
갈신1리(경로당)야외운동기구,충청남도 예산군 대흥면 갈신리 433-3,36.653287,126.853768,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
갈신2리(마을회관)야외운동기구,충청남도 예산군 대흥면 갈신리 237-3,36.66174836,126.8563467,041-339-8986,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
강동구 성내2동 자치회관 새미실(지하1층),서울특별시 강동구 풍성로37가길 62,37.53243047,127.1295279,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 성내3동 자치회관 제1강의실(2층),서울특별시 강동구 풍성로37가길 62,37.53243047,127.1295279,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 성내3동 자치회관 다목적실(지하1층),서울특별시 강동구 강동대로53길 76,37.5260027,127.1328729,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 성내3동 자치회관 제2강의실(2층),서울특별시 강동구 강동대로53길 76,37.5260027,127.1328729,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 길동 주민센터 회의실(3층),서울특별시 강동구 강동대로53길 76,37.52604217,127.1328839,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 둔촌2동 자치회관 다목적실(2층),서울특별시 강동구 천호대로186길 7,37.5333052,127.1419351,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
청소년수련관다목적홀,경상북도 청도군 화양읍 청려로1846,35.64838686,128.7186823,054-370-6393,https://www.cheongdo.go.kr/open.content/cs/,1월1일+설연휴+추석연휴,7:00,22:00,9:00,21:00,100000,200,빔 프로젝터,방문+전화
국민체육센터실내체육관,경상북도 청도군 화양읍 청려로1846,35.64838686,128.7186823,054-370-2393,https://www.cheongdo.go.kr/open.content/cs/,1월1일+설연휴+추석연휴,7:00,22:00,7:00,21:00,60000,1100,빔 프로젝터,방문+전화
국민체육센터생활체육관,경상북도 청도군 화양읍 청려로1846,35.64838686,128.7186823,054-370-2393,https://www.cheongdo.go.kr/open.content/cs/,1월1일+설연휴+추석연휴,7:00,22:00,7:00,21:00,20000,30,,방문+전화
청도공설운동장축구장,경상북도 청도군 화양읍 청려로1846,35.64838686,128.7186823,054-370-6393,https://www.cheongdo.go.kr/open.content/cs/,1월1일+설연휴+추석연휴,7:00,22:00,7:00,21:00,20000,30,,방문+전화
서대문구 홍은1동 주민센터 3층 강좌실,서울특별시 서대문구 홍은중앙로 85,37.598849,126.9471453,02-330-8483,http://www.sdm.go.kr/dong/he1/index.do,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,무료,20,칠판+책상+의자,인터넷
서대문구 홍은2동 주민센터 취미교실,서울특별시 서대문구 모래내로 334,37.58010825,126.934135,02-330-8501,http://www.sdm.go.kr/dong/he2/index.do,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,무료,20,칠판+책상+의자,인터넷
서대문구 남가좌1동 주민자치 지하2층 커뮤니티실1,서울특별시 서대문구 모래내로15길 37,37.57327487,126.9197797,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,무료,50,빔프로젝터+ 마이크,인터넷
서대문구 남가좌1동 주민센터 지하2층 커뮤니티실2,서울특별시 서대문구 모래내로15길 37,37.57327487,126.9197797,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,무료,20,칠판+책상+의자,인터넷
